player_id,name_last,name_first,link,link_title,name_full_commas,teams_list,first_year,last_year
aanev101,Aanensen,Vic,https://afltables.com/afl/stats/players/V/Vic_Aanensen.html,Sydney (1973-1976),"Aanensen, Vic",['Sydney (1973-1976)'],1973,1976
abbea101,Abbey,Angus,https://afltables.com/afl/stats/players/A/Angus_Abbey.html,Western Bulldogs (1949-1954),"Abbey, Angus",['Western Bulldogs (1949-1954)'],1949,1954
abber101,Abbey,Ross,https://afltables.com/afl/stats/players/R/Ross_Abbey.html,Western Bulldogs (1971-1981),"Abbey, Ross",['Western Bulldogs (1971-1981)'],1971,1981
abboc102,Abbott,Charles,https://afltables.com/afl/stats/players/C/Charles_Abbott.html,Hawthorn (1961-1963),"Abbott, Charles",['Hawthorn (1961-1963)'],1961,1963
abboc101,Abbott,Clarrie,https://afltables.com/afl/stats/players/C/Clarrie_Abbott.html,"Collingwood (1907), Melbourne (1912)","Abbott, Clarrie","['Collingwood (1907)', ' Melbourne (1912)']",1907,1912
abboe101,Abbott,Ernie,https://afltables.com/afl/stats/players/E/Ernie_Abbott.html,St Kilda (1908),"Abbott, Ernie",['St Kilda (1908)'],1908,1908
abbof101,Abbott,Frank,https://afltables.com/afl/stats/players/F/Frank_Abbott.html,Fitzroy (1906-1912),"Abbott, Frank",['Fitzroy (1906-1912)'],1906,1912
abbog101,Abbott,Gordon,https://afltables.com/afl/stats/players/G/Gordon_Abbott.html,"Geelong (1936-1938), Essendon (1941-1947)","Abbott, Gordon","['Geelong (1936-1938)', ' Essendon (1941-1947)']",1936,1947
abbol101,Abbott,Les,https://afltables.com/afl/stats/players/L/Les_Abbott.html,"Collingwood (1904), Carlton (1905), Richmond (1910-1911), Melbourne (1912), Sydney (1912)","Abbott, Les","['Collingwood (1904)', ' Carlton (1905)', ' Richmond (1910-1911)', ' Melbourne (1912)', ' Sydney (1912)']",1904,1912
abbop101,Abbott,Paddy,https://afltables.com/afl/stats/players/P/Paddy_Abbott.html,"Sydney (1913), Fitzroy (1914-1918), Richmond (1919-1920)","Abbott, Paddy","['Sydney (1913)', ' Fitzroy (1914-1918)', ' Richmond (1919-1920)']",1913,1920
abbop002,Abbott,Paul,https://afltables.com/afl/stats/players/P/Paul_Abbott.html,"Hawthorn (1984-1991), Fitzroy (1992-1993)","Abbott, Paul","['Hawthorn (1984-1991)', ' Fitzroy (1992-1993)']",1984,1993
abbor001,Abbott,Ryan,https://afltables.com/afl/stats/players/R/Ryan_Abbott.html,Geelong (2018-2019),"Abbott, Ryan",['Geelong (2018-2019)'],2018,2019
aberp101,Abercrombie,Percy,https://afltables.com/afl/stats/players/P/Percy_Abercrombie.html,"Essendon (1903), Sydney (1905)","Abercrombie, Percy","['Essendon (1903)', ' Sydney (1905)']",1903,1905
aberb101,Abernethy,Bob,https://afltables.com/afl/stats/players/B/Bob_Abernethy.html,Melbourne (1923),"Abernethy, Bob",['Melbourne (1923)'],1923,1923
aberb002,Abernethy,Bruce,https://afltables.com/afl/stats/players/B/Bruce_Abernethy.html,"North Melbourne (1982-1983), Collingwood (1984-1986), Adelaide (1991-1992)","Abernethy, Bruce","['North Melbourne (1982-1983)', ' Collingwood (1984-1986)', ' Adelaide (1991-1992)']",1982,1992
aberj101,Abernethy,Jim,https://afltables.com/afl/stats/players/J/Jim_Abernethy.html,Melbourne (1923-1932),"Abernethy, Jim",['Melbourne (1923-1932)'],1923,1932
abikd101,Abikhair,Dick,https://afltables.com/afl/stats/players/D/Dick_Abikhair.html,"Hawthorn (1934-1938), North Melbourne (1941-1945)","Abikhair, Dick","['Hawthorn (1934-1938)', ' North Melbourne (1941-1945)']",1934,1945
ableg002,Ablett,Gary,https://afltables.com/afl/stats/players/G/Gary_Ablett0.html,"Hawthorn (1982), Geelong (1984-1996)","Ablett, Gary","['Hawthorn (1982)', ' Geelong (1984-1996)']",1982,1996
ableg003,Ablett,Gary,https://afltables.com/afl/stats/players/G/Gary_Ablett1.html,"Geelong (2002-2019), Gold Coast (2011-2017)","Ablett, Gary","['Geelong (2002-2019)', ' Gold Coast (2011-2017)']",2002,2017
ableg001,Ablett,Geoff,https://afltables.com/afl/stats/players/G/Geoff_Ablett.html,"Hawthorn (1973-1982), Richmond (1983-1984), St Kilda (1985)","Ablett, Geoff","['Hawthorn (1973-1982)', ' Richmond (1983-1984)', ' St Kilda (1985)']",1973,1985
ablek001,Ablett,Kevin,https://afltables.com/afl/stats/players/K/Kevin_Ablett.html,"Hawthorn (1977-1980), Richmond (1984), Geelong (1985)","Ablett, Kevin","['Hawthorn (1977-1980)', ' Richmond (1984)', ' Geelong (1985)']",1977,1985
ablel101,Ablett,Len,https://afltables.com/afl/stats/players/L/Len_Ablett.html,Richmond (1939-1943),"Ablett, Len",['Richmond (1939-1943)'],1939,1943
ablel002,Ablett,Luke,https://afltables.com/afl/stats/players/L/Luke_Ablett.html,Sydney (2002-2009),"Ablett, Luke",['Sydney (2002-2009)'],2002,2009
ablen001,Ablett,Nathan,https://afltables.com/afl/stats/players/N/Nathan_Ablett.html,"Geelong (2005-2007), Gold Coast (2011)","Ablett, Nathan","['Geelong (2005-2007)', ' Gold Coast (2011)']",2005,2011
abrai101,Abraham,Ian,https://afltables.com/afl/stats/players/I/Ian_Abraham.html,Collingwood (1960-1961),"Abraham, Ian",['Collingwood (1960-1961)'],1960,1961
abraw001,Abraham,Winston,https://afltables.com/afl/stats/players/W/Winston_Abraham.html,"Fremantle (1995-1997), North Melbourne (1998-2001)","Abraham, Winston","['Fremantle (1995-1997)', ' North Melbourne (1998-2001)']",1995,2001
abrao101,Abrahams,Owen,https://afltables.com/afl/stats/players/O/Owen_Abrahams.html,Fitzroy (1954-1962),"Abrahams, Owen",['Fitzroy (1954-1962)'],1954,1962
absot101,Absolom,Ted,https://afltables.com/afl/stats/players/T/Ted_Absolom.html,Collingwood (1900),"Absolom, Ted",['Collingwood (1900)'],1900,1900
acked001,Ackerly,David,https://afltables.com/afl/stats/players/D/David_Ackerly.html,"Sydney (1979-1985), North Melbourne (1986-1989)","Ackerly, David","['Sydney (1979-1985)', ' North Melbourne (1986-1989)']",1979,1989
acklc001,Ackland,Cain,https://afltables.com/afl/stats/players/C/Cain_Ackland.html,"Port Adelaide (2001), St Kilda (2005-2006), Carlton (2007-2008)","Ackland, Cain","['Port Adelaide (2001)', ' St Kilda (2005-2006)', ' Carlton (2007-2008)']",2001,2008
acreb001,Acres,Blake,https://afltables.com/afl/stats/players/B/Blake_Acres.html,St Kilda (2014-2019),"Acres, Blake",['St Kilda (2014-2019)'],2014,2019
adamk101,Adam,Ken,https://afltables.com/afl/stats/players/K/Ken_Adam.html,Essendon (1922-1925),"Adam, Ken",['Essendon (1922-1925)'],1922,1925
