playerID,1%,BH,BO,BR,CG,CL,CM,CP,DI,FA,FF,GA,GL,HB,HO,IF,KI,MI,MK,RB,TK,UP,name_last,name_first,first_year,last_year
aanev101,0,33,0,0,0,0,0,0,415,98,76,0,30,137,180,0,278,0,168,0,0,0,Aanensen,Vic,1973,1976
abbea101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abbey,Angus,1949,1954
abber101,0,50,0,0,0,0,0,0,2018,245,191,0,65,488,5,0,1530,0,390,0,0,0,Abbey,Ross,1971,1981
abboc101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abbott,Clarrie,1907,1912
abboc102,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Abbott,Charles,1961,1963
abboe101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Abbott,Ernie,1908,1908
abbof101,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,Abbott,Frank,1906,1912
abbog101,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,Abbott,Gordon,1936,1947
abbol101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abbott,Les,1904,1912
abbop002,0,24,0,11,0,0,0,0,1239,120,103,0,43,440,323,0,799,0,398,0,92,0,Abbott,Paul,1984,1993
abbop101,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Abbott,Paddy,1913,1920
abbor001,22,3,0,0,17,12,2,29,54,11,3,1,4,29,132,4,25,7,14,3,27,31,Abbott,Ryan,2018,2019
aberb002,0,59,0,17,0,0,0,0,2072,191,185,0,39,471,13,0,1601,0,409,0,8,0,Abernethy,Bruce,1982,1992
aberb101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abernethy,Bob,1923,1923
aberj101,0,0,0,2,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,Abernethy,Jim,1923,1932
aberp101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abercrombie,Percy,1903,1905
abikd101,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,Abikhair,Dick,1934,1945
ableg001,0,235,0,2,0,0,0,0,4183,406,376,0,153,789,1,0,3394,0,665,0,0,0,Ablett,Geoff,1973,1985
ableg002,0,690,0,99,0,0,0,0,3747,567,421,0,1031,561,64,0,3186,0,1435,0,197,0,Ablett,Gary,1982,1996
ableg003,409,322,401,248,942,1494,125,3786,8422,351,445,237,420,3999,0,1502,4423,203,1086,551,1427,4625,Ablett,Gary,2002,2017
ablek001,0,26,0,0,0,0,0,0,502,88,45,0,22,115,1,0,387,0,83,0,0,0,Ablett,Kevin,1977,1985
ablel002,156,51,12,10,270,294,30,693,1723,105,85,35,39,629,85,390,1094,50,332,123,328,1017,Ablett,Luke,2002,2009
ablel101,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Ablett,Len,1939,1943
ablen001,37,24,7,0,36,17,27,119,296,15,25,21,47,118,4,51,178,61,131,0,41,176,Ablett,Nathan,2005,2011
abrai101,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,Abraham,Ian,1960,1961
abrao101,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,Abrahams,Owen,1954,1962
abraw001,53,114,34,6,85,96,22,316,1287,122,80,0,159,397,3,232,890,27,265,17,184,238,Abraham,Winston,1995,2001
absot101,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Absolom,Ted,1900,1900
acked001,0,21,0,16,0,0,0,0,2921,267,377,0,17,868,6,0,2053,0,514,0,38,0,Ackerly,David,1979,1989
acklc001,99,13,11,0,128,140,25,306,645,69,94,15,25,281,863,119,364,28,228,31,54,339,Ackland,Cain,2001,2008
acreb001,86,20,31,2,140,119,25,417,1137,52,49,33,27,553,44,189,584,29,229,85,196,751,Acres,Blake,2014,2019
adama101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adamson,Arthur,1902,1903
adama102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adams,Artie,1915,1915
adamb101,0,0,0,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,Adams,Bill,1924,1932
