,gameID,season,round,game_time,venue,attendance,home_team,hq1g,hq1b,hq2g,hq2b,hq3g,hq3b,home_goals,home_behinds,home_score,away_team,aq1g,aq1b,aq2g,aq2b,aq3g,aq3b,away_goals,away_behinds,away_score
0,CW18970508,1897,1,1897-05-08 15:00:00,Victoria Park,,Collingwood,1,1,4,3,4,9,5,11,41,St Kilda,1,0,2,2,2,4,2,4,16
1,FI18970508,1897,1,1897-05-08 15:00:00,Brunswick St,3000.0,Fitzroy,0,5,0,11,5,13,6,13,49,Carlton,0,3,1,3,2,3,2,4,16
2,GE18970508,1897,1,1897-05-08 15:00:00,Corio Oval,,Geelong,0,0,0,4,1,5,3,6,24,Essendon,3,2,3,4,6,4,7,5,47
3,SM18970508,1897,1,1897-05-08 15:00:00,Lake Oval,,South Melbourne,0,2,1,4,3,6,3,9,27,Melbourne,3,2,4,3,5,4,6,8,44
4,ES18970515,1897,2,1897-05-15 15:00:00,East Melbourne,,Essendon,1,3,1,5,3,5,4,6,30,Collingwood,2,0,6,0,6,2,8,2,50
5,ME18970515,1897,2,1897-05-15 15:00:00,M.C.G.,,Melbourne,3,2,5,4,9,7,9,10,64,Geelong,0,0,1,1,1,1,3,1,19
6,SM18970515,1897,2,1897-05-15 15:00:00,Lake Oval,,South Melbourne,2,3,2,3,6,4,6,4,40,Carlton,1,1,2,2,2,3,5,6,36
7,SK18970515,1897,2,1897-05-15 15:00:00,Junction Oval,,St Kilda,1,1,2,4,2,4,3,8,26,Fitzroy,3,0,5,2,8,4,10,6,66
8,CW18970522,1897,3,1897-05-22 15:00:00,Victoria Park,,Collingwood,1,1,3,3,4,5,6,5,41,Geelong,2,3,2,5,3,7,5,7,37
9,ES18970524,1897,3,1897-05-24 15:00:00,East Melbourne,,Essendon,5,2,8,2,11,5,12,6,78,Carlton,1,0,3,4,3,4,6,5,41
10,FI18970522,1897,3,1897-05-22 15:00:00,Brunswick St,,Fitzroy,1,0,1,4,3,8,5,9,39,Melbourne,1,3,3,5,7,6,7,8,50
11,SM18970524,1897,3,1897-05-24 15:00:00,Lake Oval,,South Melbourne,2,4,5,8,6,9,8,11,59,St Kilda,0,1,0,1,0,1,0,2,2
12,FI18970529,1897,4,1897-05-29 15:00:00,Brunswick St,,Fitzroy,0,1,1,2,1,3,2,8,20,Essendon,1,1,3,3,5,5,6,6,42
13,GE18970529,1897,4,1897-05-29 15:00:00,Corio Oval,,Geelong,1,2,4,7,5,9,5,14,44,Carlton,1,1,1,1,2,2,3,4,22
14,ME18970529,1897,4,1897-05-29 15:00:00,M.C.G.,,Melbourne,2,3,6,6,7,7,11,10,76,St Kilda,2,0,3,1,5,2,7,4,46
15,SM18970529,1897,4,1897-05-29 15:00:00,Lake Oval,,South Melbourne,1,3,3,7,5,11,5,11,41,Collingwood,1,1,3,1,4,1,5,3,33
16,CW18970605,1897,5,1897-06-05 15:00:00,Victoria Park,,Collingwood,0,2,1,4,2,7,5,7,37,Fitzroy,0,1,1,3,2,7,2,9,21
17,GE18970605,1897,5,1897-06-05 15:00:00,Corio Oval,,Geelong,3,5,6,7,7,8,10,12,72,South Melbourne,1,3,1,3,1,4,3,6,24
18,ME18970605,1897,5,1897-06-05 15:00:00,M.C.G.,,Melbourne,1,5,4,10,9,13,15,17,107,Carlton,0,2,0,4,0,7,3,8,26
