ID,Last,First,Play debut,Mgr debut,Coach debut,Ump debut
babbc101,"Babb","Charlie",04/17/1903,,,
babcb101,"Babcock","Bob",07/22/1979,,,
babel101,"Babe","Loren",08/19/1952,,04/10/1967,
babij101,"Babich","Johnny",06/19/1934,,,
babic101,"Babington","Charlie",07/20/1915,,,
babis101,"Babitt","Shooty",04/09/1981,,,
backb001,"Backe","Brandon",07/19/2002,,,
backl101,"Backman","Les",07/03/1909,,,
backw001,"Backman","Wally",09/02/1980,,,
bacoe101,"Bacon","Eddie",08/13/1917,,,
bacsm101,"Bacsik","Mike",06/15/1975,,,
bacsm001,"Bacsik","Michael",08/05/2001,,,
baczf101,"Baczewski","Fred",04/26/1953,,,
badeb001,"Badenhop","Burke",04/09/2008,,,
badea101,"Bader","Art",08/02/1904,,,
badeh001,"Bader","Harrison",07/25/2017,,,
badek101,"Bader","King",09/30/1912,,04/13/1926,
badgr101,"Badgro","Red",06/20/1929,,,
baece101,"Baecht","Ed",04/24/1926,,,
baekc001,"Baek","Cha-Seung",08/08/2004,,,
baerc001,"Baerga","Carlos",04/14/1990,,,
baezb001,"Baez","Benito",08/25/2001,,,
baezd001,"Baez","Danys",05/13/2001,,,
baezj001,"Baez","Javier",08/05/2014,,,
baezj101,"Baez","Jose",04/06/1977,,,
baezk001,"Baez","Kevin",09/03/1990,,,
baezp001,"Baez","Pedro",05/05/2014,,,
baezs001,"Baez","Sandy",06/04/2018,,,
bagbj102,"Bagby","Jim",04/18/1938,,,
bagbj101,"Bagby","Jim",04/22/1912,,,
begle101,"Bagley","Ed",05/03/1884,,,
beglg101,"Bagley","Gene",09/11/1886,,,
bagwj001,"Bagwell","Jeff",04/08/1991,,07/16/2010,
bagwb101,"Bagwell","Bill",04/17/1923,,,
bahns101,"Bahnsen","Stan",09/09/1966,,,
bahre101,"Bahr","Ed",05/01/1946,,,
bahrf101,"Bahret","Frank",04/17/1884,,,
baicg101,"Baichley","Grover",08/24/1914,,,
bails001,"Bailes","Scott",04/09/1986,,,
bails101,"Bailey","Sweetbread",05/23/1919,,,
baila001,"Bailey","Andrew",04/06/2009,,,
bailg101,"Bailey","Gene",09/10/1917,,,
bailr001,"Bailey","Roger",04/27/1995,,,
bailh001,"Bailey","Homer",06/08/2007,,,
bailf101,"Bailey","Fred",08/19/1916,,,
bailb102,"Bailey","Bill",04/21/1911,,,
bailh102,"Bailey","Harvey",06/30/1899,,,
bailh101,"Bailey","Howard",04/12/1981,,,
bailj101,"Bailey","Jim",09/10/1959,,,
bailj001,"Bailey","Jeff",07/06/2007,,,
bailm001,"Bailey","Mark",04/27/1984,,05/15/2002,
bailk101,"Bailey","King",09/21/1895,,,
baile101,"Bailey","Ed",09/26/1953,,,
bailc001,"Bailey","Cory",09/01/1993,,,
bailb103,"Bailey","Bob",09/14/1962,,,
bails102,"Bailey","Steve",04/14/1967,,,
bailb101,"Bailey","Bill",09/17/1907,,,
bailb001,"Bailor","Bob",09/06/1975,,04/06/1992,
bainl101,"Bain","Loren",06/23/1945,,,
bainh001,"Baines","Harold",04/10/1980,,04/05/2004,
baird001,"Bair","Doug",09/13/1976,,,
baira101,"Baird","Al",09/10/1917,,,
baird101,"Baird","Doug",04/17/1915,,,
bairb101,"Baird","Bob",09/03/1962,,,
baisj001,"Baisley","Jeff",09/09/2008,,,
bajej001,"Bajenaru","Jeff",09/04/2004,,,
baked103,"Bakenhaster","Dave",06/20/1964,,,
bakea101,"Baker","Al",08/20/1938,,,
bakeb102,"Baker","Bock",04/28/1901,,,
bakec102,"Baker","Charlie",08/01/1884,,,09/15/1884
bakec101,"Baker","Chuck",04/07/1978,,,
baked101,"Baker","Dave",09/12/1982,,,
baked102,"Baker","Del",04/16/1914,9/30/1933,04/12/1933,
baked001,"Baker","Doug",07/02/1984,,,
bakee101,"Baker","Ernie",08/18/1905,,,
bakeg101,"Baker","Gene",09/20/1953,,04/08/1963,
bakef103,"Baker","Floyd",05/04/1943,,04/11/1961,
bakef104,"Baker","Frank",07/27/1969,,,
bakef101,"Baker","Frank",08/09/1970,,,
bakeg102,"Baker","George",05/24/1883,,,
bakeh101,"Baker","Howard",08/11/1912,,,
bakej103,"Baker","Jack",09/11/1976,,,
bakej001,"Baker","Jeff",04/04/2005,,,
bakej104,"Baker","Jesse",09/14/1919,,,
