ID,Last,First,Play debut,Mgr debut,Coach debut,Ump debut
cabap101,"Caballero","Putsy",09/14/1944,,,
cabee001,"Cabell","Enos",09/17/1972,,,
cabrc001,"Cabral","Cesar",09/02/2013,,,
cabra003,"Cabrera","Alberto",08/01/2012,,,
cabra001,"Cabrera","Alex",06/26/2000,,,
cabra101,"Cabrera","Al",05/16/1913,,,
cabra002,"Cabrera","Asdrubal",08/08/2007,,,
cabrd001,"Cabrera","Daniel",05/13/2004,,,
cabre002,"Cabrera","Edwar",06/27/2012,,,
cabre001,"Cabrera","Everth",04/08/2009,,,
cabrf002,"Cabrera","Fernando",08/20/2004,,,
cabrf001,"Cabrera","Francisco",07/24/1989,,,
cabrj002,"Cabrera","Jolbert",04/12/1998,,,
cabrj001,"Cabrera","Jose",07/15/1997,,,
cabrm001,"Cabrera","Miguel",06/20/2003,,,
cabrm003,"Cabrera","Mauricio",06/27/2016,,,
cabrm002,"Cabrera","Melky",07/07/2005,,,
cabro001,"Cabrera","Orlando",09/03/1997,,,
cabrr001,"Cabrera","Ramon",09/05/2015,,,
cacec101,"Cacek","Craig",06/18/1977,,,
cacee001,"Caceres","Edgar",06/08/1995,,,
cadag001,"Cadaret","Greg",07/05/1987,,,
cadol101,"Cadore","Leon",04/28/1915,,,
cadyc101,"Cady","Charlie",09/05/1883,,,
cadyh101,"Cady","Hick",04/26/1912,,,
cafet101,"Cafego","Tom",09/03/1937,,,
caffj101,"Caffie","Joe",09/13/1956,,,
caffb101,"Caffyn","Ben",08/21/1906,,,
cagew101,"Cage","Wayne",04/22/1978,,,
cahij101,"Cahill","John",05/31/1884,,,
cahit101,"Cahill","Tom",04/09/1891,,,
cahit001,"Cahill","Trevor",04/07/2009,,,
cainl101,"Cain","Les",04/28/1968,,,
cainl001,"Cain","Lorenzo",07/16/2010,,,
cainm001,"Cain","Matt",08/29/2005,,,
cains101,"Cain","Sugar",04/15/1932,,,
cainb101,"Cain","Bob",09/18/1949,,,
cairc001,"Cairncross","Cameron",07/20/2000,,,
cairm001,"Cairo","Miguel",04/17/1996,,,
caitg101,"Caithamer","George",09/17/1934,,,
caldi001,"Calderon","Ivan",08/10/1984,,,
calds101,"Calderone","Sam",04/19/1950,,,
caldb101,"Caldwell","Bruce",06/30/1928,,,
caldc101,"Caldwell","Charlie",07/07/1925,,,
calde101,"Caldwell","Earl",09/08/1928,,,
caldr102,"Caldwell","Ralph",09/10/1904,,,
caldm001,"Caldwell","Mike",09/04/1971,,,
caldr101,"Caldwell","Ray",09/09/1910,,,
calek001,"Calero","Kiko",04/02/2003,,,
calhj001,"Calhoun","Jeff",09/02/1984,,,
calhj101,"Calhoun","Jack",06/27/1902,,,
calhk001,"Calhoun","Kole",05/22/2012,,,
calhb101,"Calhoun","Bill",04/24/1913,,,
calhw001,"Calhoun","Willie",09/12/2017,,,
calic001,"Cali","Carmen",09/08/2004,,,
calif101,"Caligiuri","Fred",09/03/1941,,,
caliw101,"Calihan","Will",04/17/1890,,,
calio001,"Calixte","Orlando",04/19/2015,,,
callm101,"Callaghan","Marty",04/13/1922,,,
callp101,"Callaghan","Pat",05/01/1884,,,
callb101,"Callahan","Ben",06/22/1983,,,
calld101,"Callahan","Dave",09/14/1910,,,
calle101,"Callahan","Ed",07/19/1884,,,07/16/1881
callj001,"Callahan","Jamie",09/02/2017,,,
calln101,"Callahan","Nixey",05/12/1894,4/22/1903,,07/07/1901
callj104,"Callahan","Jim",05/25/1902,,,
callj103,"Callahan","John",09/03/1898,,,
callj102,"Callahan","Joe",09/13/1939,,,
calll101,"Callahan","Leo",04/09/1913,,,
callr101,"Callahan","Ray",09/12/1915,,,
callw101,"Callahan","Wese",09/07/1913,,,
calla001,"Callaspo","Alberto",08/06/2006,,,
callf101,"Callaway","Frank",09/17/1921,,,
callm001,"Callaway","Mickey",06/12/1999,03/29/2018,04/02/2013,
callj101,"Callison","Johnny",09/09/1958,,,
callr001,"Calloway","Ron",03/31/2003,,,
calmd101,"Calmus","Dick",04/22/1963,,,
calvm001,"Calvert","Mark",04/17/1983,,,
calvp101,"Calvert","Paul",09/24/1942,,,
calvj101,"Calvo","Jack",05/09/1913,,,
calzn001,"Calzado","Napoleon",05/29/2005,,,
camae001,"Camacho","Ernie",05/22/1980,,,
camaj001,"Camargo","Johan",04/11/2017,,,
cambf101,"Cambria","Fred",08/26/1970,,,
cameh101,"Camelli","Hank",10/03/1943,,,
camej101,"Cameron","Jack",09/13/1906,,,
camek001,"Cameron","Kevin",04/05/2007,,,
camem001,"Cameron","Mike",08/27/1995,,,
camid102,"Camilli","Dolph",09/09/1933,,,
camid101,"Camilli","Doug",09/25/1960,,04/10/1968,
camil101,"Camilli","Lou",08/09/1969,,,
camia001,"Caminero","Arquimedes",08/16/2013,,,
camik001,"Caminiti","Ken",07/16/1987,,,
camme001,"Cammack","Eric",04/28/2000,,,
camnh102,"Camnitz","Harry",09/29/1909,,,
camnh101,"Camnitz","Howie",04/22/1904,,,
camph102,"Camp","Howie",09/19/1917,,,
campr001,"Camp","Rick",09/15/1976,,,
campl101,"Camp","Lew",08/25/1892,,,
camps002,"Camp","Shawn",04/05/2004,,,
campk101,"Camp","Kid",05/03/1892,,,
campt001,"Campana","Tony",05/17/2011,,,
campr102,"Campanella","Roy",04/20/1948,,,
campb101,"Campaneris","Bert",07/23/1964,,,
campa101,"Campanis","Al",09/23/1943,,,
campj105,"Campanis","Jim",09/20/1966,,,
campc101,"Campau","Count",07/07/1888,06/28/1890,,
campa102,"Campbell","Archie",04/21/1928,,,
campv101,"Campbell","Vin",06/06/1908,,,
campb102,"Campbell","Bruce",09/12/1930,,,
camps104,"Campbell","Soup",04/21/1940,,,
campd102,"Campbell","Dave",05/06/1977,,,
campd101,"Campbell","Dave",09/17/1967,,,
campe001,"Campbell","Eric",05/10/2014,,,
camph101,"Campbell","Hugh",04/28/1873,,,
campj001,"Campbell","Jim",08/21/1990,,,
campj103,"Campbell","Jim",04/11/1970,,,
campj104,"Campbell","Jim",07/17/1962,,,
campj102,"Campbell","John",07/23/1933,,,
campj101,"Campbell","Joe",05/03/1967,,,
campk001,"Campbell","Kevin",07/19/1991,,,
campm102,"Campbell","Marc",09/30/1907,,,
campm101,"Campbell","Michael",04/28/1873,,,
campm001,"Campbell","Mike",07/04/1987,,,
campp101,"Campbell","Paul",04/15/1941,,,
campb002,"Campbell","Brett",09/07/2006,,,
campr101,"Campbell","Ron",09/01/1964,,,
camps101,"Campbell","Sam",10/11/1890,,,
campg101,"Campbell","Gilly",04/25/1933,,,
campb103,"Campbell","Billy",04/17/1905,,,
campb001,"Campbell","Bill",07/14/1973,,04/05/1999,
campc102,"Camper","Cardell",09/11/1977,,,
camps103,"Campfield","Sal",05/15/1896,,,
campj002,"Campillo","Jorge",05/20/2005,,,
camps102,"Campisi","Sal",08/15/1969,,,
campf101,"Campos","Frank",09/11/1951,,,
campv001,"Campos","Vicente",08/27/2016,,,
campl001,"Campos","Leonel",09/03/2014,,,
camps001,"Campusano","Sil",04/04/1988,,,
canag001,"Canale","George",09/03/1989,,,
canaw001,"Canate","Willie",04/16/1993,,,
canah101,"Canavan","Hugh",04/23/1918,,,
canaj101,"Canavan","Jim",04/08/1891,,,
cancr001,"Cancel","Robinson",09/03/1999,,,
candc001,"Candaele","Casey",06/05/1986,,04/04/2016,
candj001,"Candelaria","John",06/08/1975,,,
candj002,"Candelario","Jeimer",07/03/2016,,,
candm101,"Candini","Milo",05/01/1943,,,
candt001,"Candiotti","Tom",08/08/1983,,,
canej101,"Caneira","John",09/10/1977,,,
cangj001,"Cangelosi","John",06/30/1985,,,
canhm001,"Canha","Mark",04/08/2015,,,
canib001,"Canizares","Barbaro",06/11/2009,,,
canij001,"Canizaro","Jay",04/28/1996,,,
cannr101,"Cannell","Rip",04/14/1904,,,
canna001,"Cannizaro","Andy",09/05/2006,,,
cannc101,"Cannizzaro","Chris",04/17/1960,,04/09/1976,
cannj101,"Cannon","Joe",09/22/1977,,,
canoj001,"Cano","Jose",08/28/1989,,,
canor001,"Cano","Robinson",05/03/2005,,,
cansj001,"Canseco","Jose",09/02/1985,,,
canso001,"Canseco","Ozzie",07/18/1990,,,
cantg101,"Cantrell","Guy",08/18/1925,,,
cantj001,"Cantu","Jorge",07/17/2004,,,
cantb102,"Cantwell","Ben",08/19/1927,,,
cantm101,"Cantwell","Mike",09/17/1916,,,
cantt101,"Cantwell","Tom",05/19/1909,,,
cantb101,"Cantz","Bart",07/25/1888,,,
canzr001,"Canzler","Russ",09/15/2011,,,
capem001,"Capel","Mike",05/07/1988,,,
capej001,"Capellan","Jose",09/12/2004,,,
capid101,"Capilla","Doug",09/12/1976,,,
cappc001,"Capps","Carter",08/03/2012,,,
cappm001,"Capps","Matt",09/16/2005,,,
cappg101,"Cappuzzello","George",05/31/1981,,,
caprb101,"Capra","Buzz",09/15/1971,,,
caprn001,"Capra","Nick",09/06/1982,,04/02/2017,
caprp101,"Capri","Pat",07/16/1944,,,
caprr101,"Capron","Ralph",04/25/1912,,,
capuc001,"Capuano","Chris",05/04/2003,,,
carar001,"Caraballo","Ramon",09/09/1993,,,
caram001,"Carasiti","Matt",08/12/2016,,,
carav001,"Caratini","Victor",06/28/2017,,,
carap101,"Caraway","Pat",04/19/1930,,,
carbj101,"Carbine","John",05/08/1875,,,
carbb101,"Carbo","Bernie",09/02/1969,,,
cardj102,"Carden","John",05/18/1946,,,
cardj101,"Cardenal","Jose",04/14/1963,,04/05/1993,
carda001,"Cardenas","Adrian",05/07/2012,,,
cardl101,"Cardenas","Leo",07/25/1960,,,
cardc101,"Cardinal","Conrad",04/11/1963,,,
cardj001,"Cardona","Javier",05/31/2000,,,
cardb101,"Cardoni","Ben",08/22/1943,,,
cards001,"Cardullo","Stephen",08/26/2016,,,
cardd101,"Cardwell","Don",04/21/1957,,,
carer001,"Carew","Rod",04/11/1967,,04/07/1992,
carea101,"Carey","Andy",05/02/1952,,,
cares101,"Carey","Scoops",04/26/1895,,,
carem101,"Carey","Max",10/03/1910,4/12/1932,04/15/1930,
carep001,"Carey","Paul",05/25/1993,,,
carer101,"Carey","Roger",07/09/1887,,,
caret102,"Carey","Tom",07/19/1935,,04/16/1946,
caret101,"Carey","Tom",05/04/1871,07/21/1873,,05/26/1873
caffu101,"Carfrey","Ed",04/19/1890,,,
cargb101,"Cargo","Bobby",10/06/1892,,,
carie001,"Caridad","Esmailin",08/10/2009,,,
caria001,"Carignan","Andrew",09/02/2011,,,
carif101,"Carisch","Fred",08/31/1903,,04/18/1923,
carlf101,"Carl","Fred",07/25/1889,,,
