ID,Last,First,Play debut,Mgr debut,Coach debut,Ump debut
daalo001,"Daal","Omar",04/23/1993,,,
dacqj101,"D'Acquisto","John",09/02/1973,,,
dadep101,"Dade","Paul",09/12/1975,,,
dagej101,"Dagenhard","John",09/28/1943,,,
daglp101,"Daglia","Pete",06/08/1932,,,
dagra101,"Dagres","Angelo",09/11/1955,,,
dahld001,"Dahl","David",07/25/2016,,,
dahlj102,"Dahl","Jay",09/27/1963,,,
dahlb102,"Dahlen","Bill",04/22/1891,4/14/1910,,
dahlb101,"Dahlgren","Babe",04/16/1935,,04/14/1964,
dahlj101,"Dahlke","Jerry",05/06/1956,,,
daigc001,"Daigle","Casey",04/09/2004,,,
dailj101,"Dailey","John",04/29/1875,,,05/20/1882
dails101,"Dailey","Sam",07/04/1929,,,
dailv101,"Dailey","Vince",04/21/1890,,,
dailb101,"Dailey","Bill",08/17/1961,,,
dailc101,"Daily","Con",05/06/1885,,,06/17/1890
daile101,"Daily","Ed",05/04/1885,,,
dailh101,"Daily","Hugh",05/01/1882,,,
daisg101,"Daisy","George",05/31/1884,,,
dalcb101,"Dal Canton","Bruce",09/03/1967,,04/07/1987,
daleg101,"Dale","Gene",09/19/1911,,,
dalec001,"Dale","Carl",09/07/1999,,,
dalep001,"Dalena","Pete",07/07/1989,,,
dalem001,"Dalesandro","Mark",06/06/1994,,,
dalej102,"Daley","John",07/19/1912,,,
dalej101,"Daley","Jud",09/19/1911,,,
daleb102,"Daley","Bud",09/10/1955,,,
dalem002,"Daley","Matt",04/25/2009,,,
dalep101,"Daley","Pete",05/03/1955,,,
dalet101,"Daley","Tom",08/29/1908,,,
daleb101,"Daley","Bill",07/17/1889,,,
dalld101,"Dallessandro","Dom",04/24/1937,,,
dallb001,"Dallimore","Brian",04/29/2004,,,
dalra101,"Dalrymple","Abner",05/01/1878,,,
dalrc101,"Dalrymple","Clay",04/24/1960,,,
dalrb101,"Dalrymple","Bill",07/06/1915,,,
daltm001,"Dalton","Mike",05/31/1991,,,
daltj101,"Dalton","Jack",06/20/1910,,,
dalyb101,"Daly","Bert",08/07/1903,,,
dalyg101,"Daly","George",09/26/1909,,,
dalys101,"Daly","Sun",09/30/1892,,,
dalyj101,"Daly","Joe",09/19/1890,,,
dalyt102,"Daly","Tom",09/23/1913,,04/13/1933,
dalyt101,"Daly","Tom",06/09/1884,,04/14/1914,10/05/1901
dam-b101,"Dam","Bill",08/23/1909,,,
damaj101,"Damaska","Jack",07/03/1963,,,
damij001,"D'Amico","Jeff",06/28/1996,,,
damij002,"D'Amico","Jeff",06/03/2000,,,
dammb101,"Dammann","Bill",04/24/1897,,,
damoj001,"Damon","Johnny",08/12/1995,,,
damrh101,"Damrau","Harry",09/17/1915,,,
danep001,"Daneker","Pat",07/02/1999,,,
danea101,"Daney","Art",05/25/1928,,,
danfd101,"Danforth","Dave",08/01/1911,,,
danic102,"Daniel","Chuck",09/21/1957,,,
danij101,"Daniel","Jake",07/24/1937,,,
danib102,"Daniels","Bennie",09/24/1957,,,
danib101,"Daniels","Bert",06/25/1910,,,
danic101,"Daniels","Charlie",04/18/1884,,,
danit101,"Daniels","Tony",06/12/1945,,,
danij102,"Daniels","Jack",04/18/1952,,,
danik001,"Daniels","Kal",04/09/1986,,,
danil101,"Daniels","Law",04/25/1887,,,06/14/1887
danip101,"Daniels","Pete",04/19/1890,,,
danit001,"Danish","Tyler",06/11/2016,,,
dankj001,"Danks","John",04/08/2007,,,
dankj002,"Danks","Jordan",06/07/2012,,,
dannb101,"Danner","Buck",09/17/1915,,,
dannh101,"Danning","Harry",07/30/1933,,,
danni101,"Danning","Ike",09/21/1928,,,
dantj001,"D'Antona","Jamie",07/22/2008,,,
dantf101,"Dantonio","Fats",09/18/1944,,,
danzb101,"Danzig","Babe",04/12/1909,,,
dappc101,"Dapper","Cliff",04/19/1942,,,
darbg101,"Darby","George",04/28/1893,,,
darcp101,"Darcy","Pat",09/12/1974,,,
dorsj102,"d'Arcy","Jerry",09/23/1911,,,
darev001,"Darensbourg","Vic",04/01/1998,,,
daric101,"Daringer","Cliff",04/20/1914,,,
darir101,"Daringer","Rolla",09/19/1914,,,
darka101,"Dark","Al",07/14/1946,4/11/1961,04/12/1965,
darld101,"Darling","Dell",07/03/1883,,,07/09/1887
darlr001,"Darling","Ron",09/06/1983,,,
darnc001,"d'Arnaud","Chase",06/24/2011,,,
darnt001,"d'Arnaud","Travis",08/17/2013,,,
darnj001,"Darnell","James",08/09/2011,,,
darnl001,"Darnell","Logan",05/06/2014,,,
darnb101,"Darnell","Bob",08/10/1954,,,
darrm001,"Darr","Mike",05/23/1999,,,
darrm101,"Darr","Mike",09/06/1977,,,
darrj101,"Darragh","Jack",05/13/1891,,,
darrg101,"Darrow","George",04/22/1934,,,
darvy001,"Darvish","Yu",04/09/2012,,,
darwb101,"Darwin","Bobby",09/30/1962,,,
darwd001,"Darwin","Danny",09/08/1978,,04/18/2018,
darwj001,"Darwin","Jeff",06/13/1994,,,
dascd001,"Dascenzo","Doug",09/02/1988,,04/01/2013,
dashw101,"Dashiell","Wally",04/20/1924,,,
dashl101,"Dashner","Lee",08/04/1913,,,
dassf101,"Dasso","Frank",04/22/1945,,,
datzj001,"Datz","Jeff",09/05/1989,,03/31/2002,
daubd101,"Daub","Dan",08/31/1892,,,
daubb001,"Daubach","Brian",09/10/1998,,,
daubh101,"Daubert","Harry",09/04/1915,,,
daubj101,"Daubert","Jake",04/14/1910,,,
dauer001,"Dauer","Rich",09/11/1976,,04/12/1990,
daugd101,"Daugherty","Doc",04/22/1951,,,
daugj001,"Daugherty","Jack",09/01/1987,,,
daugb101,"Daughters","Bob",04/24/1937,,,
dauld001,"Daulton","Darren",09/25/1983,,04/18/2001,
daush101,"Dauss","Hooks",09/28/1912,,,
davay101,"Davalillo","Yo-Yo",08/01/1953,,,
davav101,"Davalillo","Vic",04/09/1963,,,
davaj101,"DaVanon","Jerry",04/11/1969,,,
davaj001,"DaVanon","Jeff",09/07/1999,,,
davec101,"Davenport","Claude",10/02/1920,,,
daved101,"Davenport","Dave",04/17/1914,,,
davej101,"Davenport","Jim",04/15/1958,4/9/1985,04/07/1970,
davej001,"Davenport","Joe",07/20/1999,,,
davel101,"Davenport","Lum",05/03/1921,,,
davem101,"Davey","Mike",08/13/1977,,,
davet001,"Davey","Tom",04/06/1999,,,
davir101,"Daviault","Ray",04/13/1962,,,
davia001,"David","Andre",06/29/1984,,05/30/2005,
davic102,"Davidson","Claude",04/25/1918,,,
davic002,"Davidson","Cleatus",05/30/1999,,,
david004,"Davidson","Daniel",04/19/2009,,,
david003,"Davidson","Dave",09/06/2007,,,
davih102,"Davidson","Homer",04/25/1908,,,
davim003,"Davidson","Mark",06/20/1986,,,
davim005,"Davidson","Matt",08/11/2013,,,
davib002,"Davidson","Bob",07/15/1989,,,
davit102,"Davidson","Ted",07/24/1965,,,
davib107,"Davidson","Bill",09/29/1909,,,
davij105,"Davie","Jerry",04/14/1959,,,
davig101,"Davies","George",08/18/1891,,,
davik002,"Davies","Kyle",05/21/2005,,,
davic104,"Davies","Chick",07/11/1914,,,
daviz001,"Davies","Zach",09/02/2015,,,
davil101,"Davis","Lefty",04/18/1901,,,
davia002,"Davis","Alvin",04/11/1984,,,
davib106,"Davis","Bill",09/16/1965,,,
davia003,"Davis","Austin",06/20/2018,,,
davib005,"Davis","Blake",06/22/2011,,,
davib004,"Davis","Brad",07/21/2010,,,
davib105,"Davis","Brock",04/09/1963,,,
davic001,"Davis","Chili",04/10/1981,,03/28/2012,
davic003,"Davis","Chris",06/26/2008,,,
davic103,"Davis","Curt",04/21/1934,,,
david002,"Davis","Doug",08/09/1999,,,
david001,"Davis","Doug",07/08/1988,,03/31/2003,
davie001,"Davis","Eric",05/19/1984,,,
davie002,"Davis","Erik",06/02/2013,,,
david102,"Davis","Dixie",07/12/1912,,,
davii103,"Davis","Iron",07/16/1912,,,
davis001,"Davis","Storm",04/29/1982,,,
davig102,"Davis","George",04/19/1890,04/18/1895,,
davik101,"Davis","Kiddo",06/05/1926,,,
davig002,"Davis","Gerry",09/20/1983,,,
davig001,"Davis","Glenn",09/02/1984,,,
davih103,"Davis","Harry",04/13/1932,,,
davih101,"Davis","Harry",09/21/1895,4/11/1912,,09/29/1903
