ID,Last,First,Play debut,Mgr debut,Coach debut,Ump debut
eaddd101,"Eaddy","Don",04/24/1959,,,
eagat101,"Eagan","Truck",05/01/1901,,,
eagab101,"Eagan","Bill",04/08/1891,,,
eaglb101,"Eagle","Bill",08/20/1898,,,
eaklc101,"Eakle","Charlie",08/20/1915,,,
earlh101,"Earl","Howard",04/19/1890,,,
earls001,"Earl","Scott",09/10/1984,,,
earlb101,"Earle","Billy",04/27/1889,,,10/07/1892
earla101,"Earley","Arnold",09/27/1960,,,
earlt101,"Earley","Tom",09/27/1938,,,
earlb001,"Earley","Bill",09/22/1986,,,
earlj101,"Early","Jake",05/04/1939,,,
earng101,"Earnshaw","George",06/03/1928,,04/18/1949,
easlm001,"Easler","Mike",09/05/1973,,04/06/1992,
easle001,"Easley","Ed",05/29/2015,,,
easld001,"Easley","Damion",08/13/1992,,,
easll001,"Easley","Logan",04/09/1987,,,
easom101,"Eason","Mal",10/01/1900,,,07/25/1902
eastc101,"East","Carl",08/24/1915,,,
easth103,"East","Hugh",09/13/1941,,,
easth102,"East","Harry",06/17/1882,,,
eastl101,"Easter","Luke",08/11/1949,,04/08/1969,
easth101,"Easterday","Henry",06/23/1884,,,
eastp101,"Easterling","Paul",04/11/1928,,,
eastj001,"Easterly","Jamie",04/06/1974,,,
eastt101,"Easterly","Ted",04/17/1909,,,
eastr102,"Easterwood","Roy",04/21/1944,,,
eastj102,"Easton","John",06/19/1955,,,
eastj101,"Easton","Jack",09/23/1889,,,09/14/1891
eastr101,"Eastwick","Rawly",09/12/1974,,,
eatoa002,"Eaton","Adam",09/04/2012,,,
eatoa001,"Eaton","Adam",05/30/2000,,,
eatoc101,"Eaton","Craig",09/05/1979,,,
eatoz101,"Eaton","Zeb",04/19/1944,,,
eaveg001,"Eave","Gary",04/12/1988,,,
eavev101,"Eaves","Vallie",09/12/1935,,,
eayre101,"Eayrs","Eddie",06/30/1913,,,
eberd001,"Ebert","Derrin",04/06/1999,,,
ebrih101,"Ebright","Hi",04/24/1889,,,
ecclh101,"Eccles","Harry",09/13/1915,,,
echea001,"Echevarria","Angel",07/15/1996,,,
echoj101,"Echols","Johnny",05/24/1939,,,
eckee001,"Eckenstahler","Eric",09/09/2002,,,
ecked001,"Eckersley","Dennis",04/12/1975,,,
eckea101,"Eckert","Al",04/21/1930,,,
eckec101,"Eckert","Charlie",09/18/1919,,,
eckho101,"Eckhardt","Ox",04/16/1932,,,
ecksd001,"Eckstein","David",04/03/2001,,,
eddyc001,"Eddy","Chris",04/26/1995,,,
eddyd101,"Eddy","Don",09/07/1970,,,
eddys101,"Eddy","Steve",06/13/1979,,,
edelj101,"Edelen","Joe",04/18/1981,,,
edele101,"Edelen","Ed",08/20/1932,,,
