ID,Last,First,Play debut,Mgr debut,Coach debut,Ump debut
faatj101,"Faatz","Jay",08/22/1884,08/06/1890,,
faber101,"Faber","Red",04/17/1914,,04/15/1947,
fabrj001,"Fabregas","Jorge",04/24/1994,,,
fabrb101,"Fabrique","Bunny",10/04/1916,,,
facer101,"Face","Roy",04/16/1953,,,
faedl001,"Faedo","Lenny",09/06/1980,,,
faett101,"Faeth","Tony",08/10/1919,,,
fagae101,"Fagan","Everett",04/24/1943,,,
fagab101,"Fagan","Bill",09/15/1887,,,
fagif101,"Fagin","Joe",06/25/1895,,,
faheb001,"Fahey","Brandon",04/30/2006,,,
fahef101,"Fahey","Frank",04/25/1918,,,
faheh101,"Fahey","Howard",07/23/1912,,,
faheb101,"Fahey","Bill",09/26/1971,,04/05/1983,
fahrj101,"Fahr","Jerry",04/29/1951,,,
fahrp101,"Fahrer","Pete",08/17/1914,,,
fainf101,"Fain","Ferris",04/15/1947,,,
fairg101,"Fair","George",07/29/1876,,,
fairj101,"Fairbank","Jim",09/18/1903,,,
fairr102,"Faircloth","Rags",05/06/1919,,,
fairj102,"Fairey","Jim",04/14/1968,,,
fairr101,"Fairly","Ron",09/09/1958,,,
fajah001,"Fajardo","Hector",08/10/1991,,,
falca101,"Falch","Anton",09/30/1884,,,10/12/1884
falcp001,"Falcone","Pete",04/13/1975,,,
falkb101,"Falk","Bibb",07/17/1920,6/10/1933,04/12/1933,
falkc102,"Falk","Chet",04/20/1925,,,
falkc101,"Falkenberg","Cy",04/21/1903,,,
falkb001,"Falkenborg","Brian",10/01/1999,,,
falle101,"Fallenstein","Ed",04/16/1931,,,
fallc101,"Fallon","Charlie",06/30/1905,,,
fallg101,"Fallon","George",09/27/1937,,,
fallb001,"Fallon","Bob",04/26/1984,,,
falsp101,"Falsey","Pete",07/16/1914,,,
falts001,"Falteisek","Steve",07/22/1997,,,
falui001,"Falu","Irving",05/06/2012,,,
famij001,"Familia","Jeurys",09/04/2012,,,
faner001,"Faneyte","Rikkert",08/29/1993,,,
fannc101,"Fannin","Cliff",09/02/1945,,,
fannj102,"Fanning","Jack",09/20/1889,,,
fannj101,"Fanning","Jim",09/11/1954,9/8/1981,,
fanoh101,"Fanok","Harry",04/16/1963,,,
fanof101,"Fanovich","Frank",04/25/1949,,,
fanss001,"Fansler","Stan",09/06/1986,,,
fanwh101,"Fanwell","Harry",07/23/1910,,,
fanzc101,"Fanzone","Carmen",07/21/1970,,,
farij001,"Faria","Jacob",06/07/2017,,,
farip001,"Faries","Paul",09/06/1990,,,
farim001,"Fariss","Monty",09/06/1991,,,
farlt101,"Farley","Lawrence",06/24/1884,,,
farlb101,"Farley","Bob",04/15/1961,,,
farma101,"Farmer","Alex",09/01/1908,,,
farme101,"Farmer","Ed",06/09/1971,,,
farmj101,"Farmer","Jack",07/08/1916,,,
farmb001,"Farmer","Buck",08/13/2014,,,
farmh001,"Farmer","Howard",07/02/1990,,,
farmk001,"Farmer","Kyle",07/30/2017,,,
farmm001,"Farmer","Mike",05/04/1996,,,
farmb101,"Farmer","Bill",05/01/1888,,,
farnj001,"Farnsworth","Jeff",04/03/2002,,,
farnk001,"Farnsworth","Kyle",04/29/1999,,,
farqd001,"Farquhar","Danny",09/13/2011,,,
farrj101,"Farr","Jim",09/07/1982,,,
farrs001,"Farr","Steve",05/16/1984,,,
farrs101,"Farrar","Sid",05/01/1883,,,
farrd102,"Farrell","Duke",04/21/1888,,04/12/1909,06/29/1901
farrd101,"Farrell","Doc",06/15/1925,,,
farrb101,"Farrell","John",05/03/1882,,,
farrj106,"Farrell","Jack",10/27/1874,,,
farrj105,"Farrell","Jack",05/01/1879,05/02/1881,,
farrj001,"Farrell","John",08/18/1987,4/1/2011,04/02/2007,
farrj104,"Farrell","Jack",04/16/1914,,,
farrj103,"Farrell","John",04/26/1901,,,
farrj102,"Farrell","Joe",05/01/1882,,,
farrl001,"Farrell","Luke",07/01/2017,,,
farrk101,"Farrell","Kerby",04/24/1943,4/16/1957,04/12/1966,
farrt101,"Farrell","Turk",09/21/1956,,,
farre001,"Farris","Eric",07/28/2011,,,
farrj107,"Farrow","John",04/28/1873,,,
fasas001,"Fasano","Sal",04/03/1996,,03/29/2018,
fastu101,"Fass","Frederick",07/11/1887,,,
fassj001,"Fassero","Jeff",05/04/1991,,,
fastd101,"Fast","Darcy",06/15/1968,,,
faszj101,"Faszholz","Jack",04/25/1953,,,
faulb101,"Faul","Bill",09/19/1962,,,
faula001,"Faulkner","Andrew",08/31/2015,,,
