ID,Last,First,Play debut,Mgr debut,Coach debut,Ump debut
gabbk001,"Gabbard","Kason",07/22/2006,,,
gabia001,"Gabino","Armando",08/25/2009,,,
gablf101,"Gabler","Frank",04/19/1935,,,
gablg102,"Gabler","John",09/18/1959,,,
gablg101,"Gabler","Gabe",09/16/1958,,,
gablk101,"Gables","Ken",04/18/1945,,,
gabrl102,"Gabrielson","Len",09/09/1960,,,
gabrl101,"Gabrielson","Len",04/21/1939,,,
gaddj101,"Gaddy","John",09/27/1938,,,
gaede101,"Gaedel","Eddie",08/19/1951,,,
gaetg001,"Gaetti","Gary",09/20/1981,,04/02/2002,
gaffb001,"Gaff","Brent",07/07/1982,,,
gafff101,"Gaffke","Fabian",09/09/1936,,,
gaglp101,"Gagliano","Phil",04/16/1963,,,
gaglr101,"Gagliano","Ralph",09/21/1965,,,
gagne001,"Gagne","Eric",09/07/1999,,,
gagng001,"Gagne","Greg",06/05/1983,,,
gagne101,"Gagnier","Ed",04/14/1914,,,
gagnd001,"Gagnon","Drew",07/10/2018,,,
gagnc101,"Gagnon","Chick",06/27/1922,,,
gaile001,"Gaillard","Eddie",08/11/1997,,,
gaind101,"Gainer","Del",10/02/1909,,,
gainj001,"Gainer","Jay",05/14/1993,,,
gainj101,"Gaines","Joe",06/29/1960,,,
gainn101,"Gaines","Nemo",06/26/1921,,,
gaint001,"Gainey","Ty",04/24/1985,,,
gaisf101,"Gaiser","Fred",09/03/1908,,,
gajks001,"Gajkowski","Steve",05/25/1998,,,
gaked001,"Gakeler","Dan",06/09/1991,,,
galaa101,"Galan","Augie",04/29/1934,,04/13/1954,
galaa001,"Galarraga","Andres",08/23/1985,,,
galaa002,"Galarraga","Armando",09/15/2007,,,
galab101,"Galasso","Bob",07/24/1977,,,
galam101,"Galatzer","Milt",06/25/1933,,,
galer001,"Gale","Rich",04/30/1978,,04/07/1992,
galer002,"Gale","Rocky",09/06/2015,,,
galed101,"Galehouse","Denny",04/30/1934,,,
gallj001,"Gall","John",07/26/2005,,,
galla101,"Gallagher","Al",04/07/1970,,,
gallc001,"Gallagher","Cam",08/06/2017,,,
galls101,"Gallagher","Shorty",08/13/1901,,,
galld001,"Gallagher","Dave",04/12/1987,,,
galld101,"Gallagher","Doug",04/09/1962,,,
galle101,"Gallagher","Ed",07/08/1932,,,
gallj105,"Gallagher","John",08/20/1915,,,
gallj104,"Gallagher","Jackie",08/24/1923,,,
gallj103,"Gallagher","Joe",04/20/1939,,,
gallg101,"Gallagher","Gil",09/13/1922,,,
gallb101,"Gallagher","Bob",05/17/1972,,,
galls001,"Gallagher","Sean",06/09/2007,,,
gallw102,"Gallagher","William",08/19/1896,,,
gallb104,"Gallagher","Bill",05/02/1883,,,
gally001,"Gallardo","Yovani",06/18/2007,,,
galls102,"Galle","Stan",04/14/1942,,,
gallm001,"Gallego","Mike",04/11/1985,,05/01/2002,
gallg001,"Gallegos","Giovanny",05/12/2017,,,
gallb103,"Gallia","Bert",09/04/1912,,,
gallj102,"Galligan","John",09/02/1889,,,
gallj106,"Galligan","Pete",09/04/1886,,,
gallp101,"Gallivan","Phil",04/21/1931,,,
gallj002,"Gallo","Joey",06/02/2015,,,
gallm002,"Gallo","Mike",07/02/2003,,,
gallc101,"Galloway","Chick",09/09/1919,,,
galli001,"Galloway","Isaac",07/31/2018,,,
gallj101,"Galloway","Jim",08/24/1912,,,
galvb001,"Galvez","Balvino",05/07/1986,,,
galvj103,"Galvin","Pud",05/22/1875,05/01/1885,,09/21/1881
galvj102,"Galvin","Jim",09/27/1930,,,
galvl101,"Galvin","Lou",10/01/1884,,,
galvj101,"Galvin","John",05/07/1872,,,
galvf001,"Galvis","Freddy",04/05/2012,,,
gambj101,"Gamble","John",09/07/1972,,,
gambl101,"Gamble","Lee",09/15/1935,,,
gambo001,"Gamble","Oscar",08/27/1969,,,
gambb101,"Gamble","Bob",05/02/1888,,,
gambe001,"Gamboa","Eddie",09/02/2016,,,
gameb001,"Gamel","Ben",05/06/2016,,,
gamem001,"Gamel","Mat",09/03/2008,,,
gammd101,"Gammons","Daff",04/23/1901,,,
gandg001,"Gandarillas","Gus",07/17/2001,,,
gandc101,"Gandil","Chick",04/14/1910,,,
gandb101,"Gandy","Bob",10/05/1916,,,
ganlb101,"Ganley","Bob",09/01/1905,,,
ganng101,"Gannon","Gussie",06/15/1895,,,
gannj101,"Gannon","Joe",08/28/1898,,,
gannb101,"Gannon","Bill",09/09/1901,,,
gantj002,"Gant","John",04/06/2016,,,
gantr001,"Gant","Ron",09/06/1987,,,
gantj101,"Gantenbein","Joe",04/20/1939,,,
gantj001,"Gantner","Jim",09/03/1976,,04/02/1996,
ganzc101,"Ganzel","Charlie",09/27/1884,,,05/17/1886
ganzb101,"Ganzel","Babe",09/19/1927,,,
ganzj101,"Ganzel","John",04/21/1898,4/14/1908,,
garae001,"Garabito","Eddy",05/27/2005,,,
garaj101,"Garagiola","Joe",05/26/1946,,,
garak001,"Garagozzo","Keith",04/05/1994,,,
garav001,"Garate","Victor",09/05/2009,,,
garbm101,"Garbark","Mike",04/18/1944,,,
