ID,Last,First,Play debut,Mgr debut,Coach debut,Ump debut
haady001,"Haad","Yamid",07/05/1999,,,
haasb102,"Haas","Bert",09/09/1937,,,
haasb101,"Haas","Bruno",06/23/1915,,,
haasm001,"Haas","Moose",09/08/1976,,,
haase101,"Haas","Eddie",09/08/1957,4/9/1985,04/04/1974,
haasm101,"Haas","Mule",08/15/1925,,04/16/1940,
haasd001,"Haas","Dave",09/08/1991,,,
haase001,"Haase","Eric",09/02/2018,,,
habeb101,"Habenicht","Bob",04/17/1951,,,
habee101,"Haberer","Emil",07/09/1901,,,
habyj001,"Habyan","John",09/29/1985,,,
hachi101,"Hach","Irv",07/01/1897,,,
hacks101,"Hack","Stan",04/12/1932,4/13/1954,04/16/1957,
hacke001,"Hacker","Eric",09/22/2009,,,
hackr101,"Hacker","Rich",07/02/1971,,04/08/1986,
hackw102,"Hacker","Warren",09/24/1948,,,
hackj101,"Hackett","Jim",09/14/1902,,,
hackm101,"Hackett","Mert",05/02/1883,,,06/11/1886
hackw101,"Hackett","Walter",04/17/1884,,,
hackl001,"Hackman","Luther",09/01/1999,,,
haddh101,"Haddix","Harvey",08/20/1952,,04/15/1966,
haddg101,"Haddock","George",09/27/1888,,,06/08/1889
hadej001,"Hader","Josh",06/10/2017,,,
hadlb101,"Hadley","Bump",04/20/1926,,,
hadlk101,"Hadley","Kent",09/14/1958,,,
haefb101,"Haeffner","Bill",06/29/1915,,,
haefm101,"Haefner","Mickey",04/22/1943,,,
haegc001,"Haeger","Charlie",05/10/2006,,,
hafec101,"Hafey","Chick",08/28/1924,,,
hafeb101,"Hafey","Bud",04/21/1935,,,
hafet101,"Hafey","Tom",07/21/1939,,,
haffl101,"Hafford","Leo",04/15/1906,,,
hafnf101,"Hafner","Frank",05/05/1888,,,
hafnt001,"Hafner","Travis",08/06/2002,,,
hagan001,"Hagadone","Nick",09/01/2011,,,
hagaa101,"Hagan","Art",06/30/1883,,,
hagec101,"Hageman","Casey",09/18/1911,,,
hagek001,"Hagen","Kevin",06/04/1983,,,
hageb001,"Hagens","Bradin",08/14/2014,,,
hager101,"Hagerman","Rip",04/16/1909,,,
haguj101,"Hague","Joe",09/19/1968,,,
hagum001,"Hague","Matt",04/07/2012,,,
hagub101,"Hague","Bill",05/04/1875,,,
hahnd102,"Hahn","Don",04/08/1969,,,
hahnn101,"Hahn","Noodles",04/18/1899,,,
hahnf101,"Hahn","Fred",04/19/1952,,,
hahnj001,"Hahn","Jesse",06/03/2014,,,
hahnd101,"Hahn","Dick",09/07/1940,,,
hahne101,"Hahn","Ed",08/31/1905,,,
haidh101,"Haid","Hal",09/05/1919,,,
haige101,"Haigh","Ed",08/14/1892,,,
hainh101,"Haines","Hinkey",04/20/1923,,,
hainj101,"Haines","Jesse",07/20/1918,,04/19/1938,
hairj002,"Hairston","Jerry",09/11/1998,,,
hairj001,"Hairston","Jerry",07/26/1973,,,
hairj101,"Hairston","John",09/06/1969,,,
hairs101,"Hairston","Sam",07/21/1951,,04/07/1978,
hairs001,"Hairston","Scott",05/07/2004,,,
haisj101,"Haislip","Jim",08/27/1913,,,
hajdc101,"Hajduk","Chet",04/16/1941,,,
hajed001,"Hajek","Dave",09/15/1995,,,
halaj001,"Halama","John",04/02/1998,,,
halag101,"Halas","George",05/06/1919,,,
halbe101,"Halbriter","Ed",05/23/1882,,,
haldj101,"Haldeman","John",07/03/1877,,,
haleo101,"Hale","Odell",08/01/1931,,,
haled001,"Hale","David",09/13/2013,,,
haleg101,"Hale","George",08/24/1914,,,
halej101,"Hale","John",09/08/1974,,,
haled101,"Hale","Dad",04/21/1902,,,
haleb101,"Hale","Bob",07/04/1955,,,
hales101,"Hale","Sammy",04/20/1920,,,
halec001,"Hale","Chip",08/27/1989,4/6/2015,04/02/2007,
halef101,"Haley","James",06/22/1880,,,
halej001,"Haley","Justin",04/05/2017,,,
haler101,"Haley","Raymond",04/21/1915,,,
halie101,"Halicki","Ed",07/08/1974,,,
halla001,"Hall","Albert",09/12/1981,,,
halld001,"Hall","Drew",09/14/1986,,,
halla101,"Hall","Al",05/01/1879,,,
hallc103,"Hall","Charley",07/12/1906,,,
hallc101,"Hall","Charlie",05/03/1887,,,
hallc001,"Hall","Cody",09/03/2015,,,
hallj103,"Hall","Jim",05/20/1872,,,10/05/1872
hallg101,"Hall","George",05/05/1871,,,05/31/1873
hallb108,"Hall","Bert",08/21/1911,,,
hallh101,"Hall","Herb",04/25/1918,,,
halli101,"Hall","Irv",04/20/1943,,,
hallj107,"Hall","Jimmie",04/09/1963,,,
hallj106,"Hall","John",04/21/1948,,,
hallj001,"Hall","Joe",04/05/1994,,,
hallj002,"Hall","Josh",08/02/2003,,,
hallm101,"Hall","Marc",08/20/1910,,,
hallm002,"Hall","Matt",09/15/2018,,,
hallm001,"Hall","Mel",09/03/1981,,,
halld002,"Hall","Darren",04/30/1994,,,
halld101,"Hall","Dick",04/15/1952,,,
hallb103,"Hall","Bob",04/23/1949,,,
hallb106,"Hall","Bob",04/18/1904,,,
hallr101,"Hall","Russ",04/15/1898,,,
hallt001,"Hall","Toby",09/15/2000,,,
hallt101,"Hall","Tom",06/09/1968,,,
hallb001,"Hall","Bill",09/01/2002,,,
hallb107,"Hall","Bill",07/04/1913,,,
hallb105,"Hall","Bill",04/18/1954,,,
hallj104,"Halla","John",08/18/1905,,,
hallr001,"Halladay","Roy",09/20/1998,,,
hallb104,"Hallahan","Bill",04/16/1925,,,
hallt102,"Haller","Tom",04/11/1961,,04/07/1977,
hallj105,"Hallett","Jack",09/13/1940,,,
halln101,"Halliday","Newt",08/19/1916,,,
hallj102,"Halligan","Jocko",05/13/1890,,,
halle101,"Hallinan","Ed",05/13/1911,,,
hallj101,"Hallinan","Jimmy",07/26/1871,,,
