ID,Last,First,Play debut,Mgr debut,Coach debut,Ump debut
iannc001,"Iannetta","Chris",08/27/2006,,,
ibanr001,"Ibanez","Raul",08/01/1996,,,
ibare001,"Ibarra","Edgar",06/02/2015,,,
iburh101,"Iburg","Ham",04/17/1902,,,
igarr001,"Igarashi","Ryota",04/08/2010,,,
igawk001,"Igawa","Kei",04/07/2007,,,
iglej001,"Iglesias","Jose",05/08/2011,,,
igler001,"Iglesias","Raisel",04/12/2015,,,
ignag101,"Ignasiak","Gary",09/20/1973,,,
ignam001,"Ignasiak","Mike",08/22/1991,,,
iguct001,"Iguchi","Tadahito",04/04/2005,,,
ilslb001,"Ilsley","Blaise",04/04/1994,,04/01/2013,
imlad101,"Imlay","Doc",07/07/1913,,,
incap001,"Incaviglia","Pete",04/08/1986,,,
incie001,"Inciarte","Ender",05/02/2014,,,
infaa001,"Infante","Alexis",09/27/1987,,,
infag001,"Infante","Gregory",09/07/2010,,,
infao001,"Infante","Omar",09/07/2002,,,
ingeb001,"Inge","Brandon",04/03/2001,,,
ingeb101,"Ingersoll","Bob",04/23/1914,,,
inges101,"Ingerton","Scotty",04/12/1911,,,
inglj001,"Inglett","Joe",06/21/2006,,,
ingrc101,"Ingraham","Charlie",07/04/1883,,,
ingrg001,"Ingram","Garey",05/15/1994,,,
ingrm101,"Ingram","Mel",07/24/1929,,,
ingrr001,"Ingram","Riccardo",06/26/1994,,,
inksb101,"Inks","Bert",09/02/1891,,,
innij001,"Innis","Jeff",05/16/1987,,,
iorgd001,"Iorg","Dane",04/09/1977,,,
iorgg001,"Iorg","Garth",04/09/1978,,04/01/1996,
iotth102,"Iott","Hooks",09/06/1941,,,
iotth101,"Iott","Happy",09/16/1903,,,
irabh001,"Irabu","Hideki",07/10/1997,,,
irelh101,"Irelan","Hal",04/23/1914,,,
irelt101,"Ireland","Tim",09/20/1981,,,
iribh001,"Iribarren","Hernan",04/12/2008,,,
irvim101,"Irvin","Monte",07/08/1949,,,
irvid001,"Irvine","Daryl",04/28/1990,,,
irwia101,"Irwin","Arthur",05/01/1880,07/05/1889,,09/28/1881
irwic101,"Irwin","Charlie",09/03/1893,,,
irwij101,"Irwin","John",05/31/1882,,,08/29/1885
irwip001,"Irwin","Phil",04/14/2013,,,
irwit101,"Irwin","Tommy",10/01/1938,,,
irwiw101,"Irwin","Walt",04/24/1921,,,
irvie101,"Irwin","Ed",05/18/1912,,,
irwib101,"Irwin","Bill",08/30/1886,,,
isalo101,"Isales","Orlando",09/11/1980,,,
isbef101,"Isbell","Frank",05/01/1898,,,
ishik001,"Ishii","Kazuhisa",04/06/2002,,,
ishit001,"Ishikawa","Travis",04/18/2006,,,
isrij001,"Isringhausen","Jason",07/17/1995,,,
iviem101,"Ivie","Mike",09/04/1971,,,
iwakh001,"Iwakuma","Hisashi",04/20/2012,,,
iwama001,"Iwamura","Akinori",04/02/2007,,,
izquh101,"Izquierdo","Hank",08/09/1967,,,
izquh001,"Izquierdo","Hansel",04/21/2002,,,
iztuc001,"Izturis","Cesar",06/23/2001,,,
iztum001,"Izturis","Maicer",08/27/2004,,,
