playerID,nameLast,nameFirst,batting_hand,throwing_hand,position,team,year
aardd001,Aardsma,David,R,R,P,CHA,2007
aardd001,Aardsma,David,R,R,P,BOS,2008
aardd001,Aardsma,David,R,R,P,CHN,2006
aardd001,Aardsma,David,R,R,P,NYN,2013
aardd001,Aardsma,David,R,R,P,SEA,2009
aardd001,Aardsma,David,R,R,P,NYA,2012
aardd001,Aardsma,David,R,R,P,SFN,2004
aardd001,Aardsma,David,R,R,P,ATL,2015
aardd001,Aardsma,David,R,R,P,SEA,2010
aaroh101,Aaron,Hank,R,R,OF,ATL,1973
aaroh101,Aaron,Hank,R,R,OF,ATL,1966
aaroh101,Aaron,Hank,R,R,OF,ATL,1970
aaroh101,Aaron,Hank,R,R,OF,MLN,1955
aaroh101,Aaron,Hank,R,R,OF,MLN,1956
aaroh101,Aaron,Hank,R,R,OF,ATL,1967
aaroh101,Aaron,Hank,R,R,1B,ATL,1971
aaroh101,Aaron,Hank,R,R,OF,MLN,1964
aaroh101,Aaron,Hank,R,R,OF,MLN,1958
aaroh101,Aaron,Hank,R,R,1B,ATL,1972
aaroh101,Aaron,Hank,R,R,OF,MLN,1959
aaroh101,Aaron,Hank,R,R,OF,MLN,1957
aaroh101,Aaron,Hank,R,R,OF,MLN,1960
aaroh101,Aaron,Hank,R,R,OF,MLN,1961
aaroh101,Aaron,Hank,R,R,OF,MLN,1965
aaroh101,Aaron,Hank,R,R,OF,MLN,1954
aaroh101,Aaron,Hank,R,R,OF,ATL,1974
aaroh101,Aaron,Hank,R,R,OF,MLN,1963
aaroh101,Aaron,Hank,R,R,OF,ATL,1969
aaroh101,Aaron,Hank,R,R,OF,ATL,1968
aaroh101,Aaron,Hank,R,R,DH,MIL,1976
aaroh101,Aaron,Hank,R,R,DH,MIL,1975
aaroh101,Aaron,Hank,R,R,OF,MLN,1962
aarot101,Aaron,Tommie,R,R,1B,ATL,1969
aarot101,Aaron,Tommie,R,R,1B,MLN,1963
aarot101,Aaron,Tommie,R,R,1B,ATL,1971
aarot101,Aaron,Tommie,R,R,OF,ATL,1968
aarot101,Aaron,Tommie,R,R,1B,MLN,1962
aarot101,Aaron,Tommie,R,R,1B,MLN,1965
aarot101,Aaron,Tommie,R,R,1B,ATL,1970
aased001,Aase,Don,R,R,P,BOS,1977
aased001,Aase,Don,R,R,P,CAL,1984
aased001,Aase,Don,R,R,P,CAL,1979
aased001,Aase,Don,R,R,P,LAN,1990
aased001,Aase,Don,R,R,P,CAL,1978
aased001,Aase,Don,R,R,P,CAL,1980
aased001,Aase,Don,R,R,P,CAL,1982
aased001,Aase,Don,R,R,P,NYN,1989
aased001,Aase,Don,R,R,P,BAL,1985
aased001,Aase,Don,R,R,P,BAL,1986
aased001,Aase,Don,R,R,P,BAL,1987
aased001,Aase,Don,R,R,P,CAL,1981
