id,attendance,date,daynight,fieldcond,hometeam,howscored,lp,number,oscorer,pitches,precip,save,site,sky,starttime,temp,timeofgame,ump1b,ump2b,ump3b,umphome,umplf,umprf,usedh,visteam,winddir,windspeed,wp
ANA201204060,44106,2012-04-06,night,unknown,ANA,park,crowa001,0.0,munse701,pitches,unknown,,ANA01,sunny,7:11PM,69,0 days 02:22:00.000000000,davib902,wendh902,belld901,laynj901,,,true,KCA,tocf,4,weavj003
ANA201204070,40022,2012-04-07,day,unknown,ANA,park,hared001,0.0,munse701,pitches,unknown,,ANA01,sunny,1:06PM,85,0 days 02:46:00.000000000,wendh902,belld901,laynj901,davib902,,,true,KCA,tocf,4,hochl001
ANA201204080,32227,2012-04-08,day,unknown,ANA,park,sante001,0.0,munse701,pitches,unknown,broxj001,ANA01,sunny,12:37PM,80,0 days 03:15:00.000000000,belld901,laynj901,davib902,wendh902,,,true,KCA,tocf,7,sancj002
ANA201204160,27338,2012-04-16,night,unknown,ANA,park,mccab001,0.0,munse701,pitches,unknown,,ANA01,sunny,7:07PM,71,0 days 02:48:00.000000000,rungb901,hudsm901,mcclt901,barrt901,,,true,OAK,torf,6,weavj003
ANA201204170,41016,2012-04-17,night,unknown,ANA,park,jepsk001,0.0,munse701,pitches,unknown,balfg001,ANA01,cloudy,7:07PM,72,0 days 02:46:00.000000000,hudsm901,mcclt901,barrt901,rungb901,,,true,OAK,tocf,7,fuenb001
ANA201204180,27217,2012-04-18,night,unknown,ANA,park,sante001,0.0,franm701,pitches,unknown,,ANA01,sunny,7:06PM,68,0 days 02:44:00.000000000,mcclt901,barrt901,rungb901,hudsm901,,,true,OAK,tocf,7,colob001
ANA201204190,27864,2012-04-19,night,unknown,ANA,park,wilsc004,0.0,franm701,pitches,unknown,balfg001,ANA01,cloudy,7:08PM,67,0 days 03:11:00.000000000,barrt901,rungb901,hudsm901,mcclt901,,,true,OAK,tocf,6,milot001
ANA201204200,32272,2012-04-20,night,unknown,ANA,park,matub001,0.0,franm701,pitches,unknown,waldj001,ANA01,sunny,7:08PM,63,0 days 02:49:00.000000000,millb901,campa902,iassd901,scotd901,,,true,BAL,tocf,6,willj003
ANA201204210,38054,2012-04-21,night,unknown,ANA,park,arrij001,0.0,munse701,pitches,unknown,,ANA01,sunny,6:07PM,64,0 days 02:24:00.000000000,campa902,iassd901,scotd901,millb901,,,true,BAL,tocf,13,weavj003
ANA201204220,38221,2012-04-22,day,unknown,ANA,park,hawkl001,0.0,munse701,pitches,unknown,johnj010,ANA01,overcast,12:37PM,65,0 days 03:11:00.000000000,iassd901,scotd901,millb901,campa902,,,true,BAL,tocf,7,strop001
ANA201204300,27027,2012-04-30,night,unknown,ANA,park,blacn001,0.0,munse701,pitches,unknown,downs001,ANA01,unknown,7:07PM,64,0 days 02:27:00.000000000,herna901,carlm901,hicke901,rapue901,,,true,MIN,tocf,8,wilsc004
ANA201205010,30039,2012-05-01,night,unknown,ANA,park,lirif001,0.0,munse701,pitches,unknown,,ANA01,overcast,7:06PM,60,0 days 02:10:00.000000000,carlm901,hicke901,rapue901,herna901,,,true,MIN,tocf,5,willj003
ANA201205020,27288,2012-05-02,night,unknown,ANA,park,hendl001,0.0,franm701,pitches,unknown,,ANA01,unknown,7:07PM,63,0 days 02:28:00.000000000,hicke901,rapue901,herna901,carlm901,,,true,MIN,tocf,6,weavj003
ANA201205030,28359,2012-05-03,night,unknown,ANA,park,hared001,0.0,munse701,pitches,unknown,,ANA01,cloudy,7:07PM,66,0 days 02:11:00.000000000,knigb901,wintm901,wegnm901,bellw901,,,true,TOR,tocf,4,morrb001
ANA201205040,33160,2012-05-04,night,unknown,ANA,park,sante001,0.0,franm701,pitches,unknown,,ANA01,cloudy,7:07PM,67,0 days 02:10:00.000000000,wintm901,wegnm901,bellw901,knigb901,,,true,TOR,torf,5,alvah001
ANA201205050,39018,2012-05-05,night,unknown,ANA,park,drabk001,0.0,munse701,pitches,unknown,,ANA01,sunny,6:08PM,68,0 days 02:54:00.000000000,wegnm901,bellw901,knigb901,wintm901,,,true,TOR,torf,11,wilsc004
ANA201205060,37548,2012-05-06,day,unknown,ANA,park,hutcd001,0.0,munse701,pitches,unknown,hawkl001,ANA01,sunny,12:37PM,71,0 days 02:51:00.000000000,bellw901,knigb901,wintm901,wegnm901,,,true,TOR,torf,7,willj003
ANA201205140,32851,2012-05-14,night,unknown,ANA,park,hared001,0.0,munse701,pitches,unknown,,ANA01,sunny,7:08PM,70,0 days 02:56:00.000000000,marqa901,blasc901,fairc901,hallt901,,,true,OAK,tocf,8,rosst001
ANA201205150,31762,2012-05-15,day,unknown,ANA,park,colob001,0.0,franm701,pitches,unknown,,ANA01,sunny,4:07PM,74,0 days 02:26:00.000000000,blasc901,fairc901,hallt901,marqa901,,,true,OAK,tocf,9,sante001
ANA201205160,39027,2012-05-16,night,unknown,ANA,park,floyg001,0.0,munse701,pitches,unknown,,ANA01,sunny,7:07PM,76,0 days 02:25:00.000000000,fairc901,hallt901,marqa901,blasc901,,,true,CHA,tocf,5,willj003
ANA201205170,30786,2012-05-17,day,unknown,ANA,park,wilsc004,0.0,franm701,pitches,unknown,,ANA01,sunny,12:39PM,73,0 days 03:10:00.000000000,hallt901,marqa901,blasc901,fairc901,,,true,CHA,tocf,10,salec001
ANA201205280,44016,2012-05-28,night,unknown,ANA,park,wadec001,0.0,munse701,pitches,unknown,,ANA01,sunny,6:08PM,74,0 days 03:38:00.000000000,welkt901,diazl901,everm901,schrp901,,,true,NYA,tocf,7,waldj001
ANA201205290,42065,2012-05-29,night,unknown,ANA,park,petta001,0.0,franm701,pitches,unknown,,ANA01,sunny,7:07PM,72,0 days 02:37:00.000000000,diazl901,everm901,schrp901,welkt901,,,true,NYA,tocf,9,hared001
ANA201205300,40111,2012-05-30,night,unknown,ANA,park,takah001,0.0,munse701,pitches,unknown,sorir001,ANA01,sunny,7:07PM,68,0 days 03:06:00.000000000,everm901,schrp901,welkt901,diazl901,,,true,NYA,tocf,8,novai001
ANA201206010,40080,2012-06-01,night,unknown,ANA,park,lewic001,0.0,munse701,pitches,unknown,friee001,ANA01,sunny,7:12PM,66,0 days 02:31:00.000000000,mcclt901,rungb901,barrt901,hudsm901,,,true,TEX,tocf,8,willj003
ANA201206020,44227,2012-06-02,night,unknown,ANA,park,darvy001,0.0,munse701,pitches,unknown,friee001,ANA01,overcast,7:08PM,66,0 days 03:34:00.000000000,rungb901,barrt901,hudsm901,mcclt901,,,true,TEX,torf,10,cassb001
ANA201206030,42465,2012-06-03,day,unknown,ANA,park,hared001,0.0,munse701,pitches,unknown,,ANA01,cloudy,12:37PM,70,0 days 03:09:00.000000000,barrt901,hudsm901,mcclt901,rungb901,,,true,TEX,tocf,9,harrm001
ANA201206040,36079,2012-06-04,night,unknown,ANA,park,sante001,0.0,franm701,pitches,unknown,wilht001,ANA01,overcast,7:06PM,65,0 days 03:14:00.000000000,gormb901,ticht901,vanol901,randt901,,,true,SEA,tocf,8,vargj001
ANA201206050,35021,2012-06-05,night,unknown,ANA,park,beavb001,0.0,munse701,pitches,unknown,,ANA01,sunny,7:07PM,71,0 days 02:29:00.000000000,ticht901,vanol901,randt901,gormb901,,,true,SEA,tolf,8,richg002
ANA201206060,37342,2012-06-06,night,unknown,ANA,park,willj003,0.0,munse701,pitches,unknown,wilht001,ANA01,sunny,7:07PM,74,0 days 03:14:00.000000000,vanol901,randt901,gormb901,ticht901,,,true,SEA,torf,6,kells001
ANA201206150,37096,2012-06-15,night,unknown,ANA,park,hared001,0.0,munse701,pitches,unknown,,ANA01,unknown,7:07PM,65,0 days 02:34:00.000000000,knigb901,wintm901,wegnm901,bellw901,,,true,ARI,tocf,8,cahit001
ANA201206160,42483,2012-06-16,night,unknown,ANA,park,saunj001,0.0,franm701,pitches,unknown,,ANA01,sunny,7:08PM,69,0 days 02:28:00.000000000,wintm901,wegnm901,bellw901,knigb901,,,true,ARI,tocf,9,sante001
ANA201206170,42222,2012-06-17,day,unknown,ANA,park,kenni001,0.0,munse701,pitches,unknown,friee001,ANA01,sunny,12:38PM,76,0 days 02:27:00.000000000,wegnm901,bellw901,knigb901,wintm901,,,true,ARI,tocf,5,richg002
ANA201206180,41234,2012-06-18,night,unknown,ANA,park,willj003,0.0,munse701,pitches,unknown,garcj002,ANA01,sunny,7:08PM,71,0 days 03:21:00.000000000,barrs901,mealj901,darlg901,emmep901,,,true,SFN,torf,7,cainm001
ANA201206190,38010,2012-06-19,night,unknown,ANA,park,zitob001,0.0,munse701,pitches,unknown,,ANA01,sunny,7:07PM,69,0 days 03:21:00.000000000,mealj901,darlg901,emmep901,barrs901,,,true,SFN,tocf,7,wilsc004
ANA201206200,40321,2012-06-20,night,unknown,ANA,park,voger001,0.0,franm701,pitches,unknown,,ANA01,sunny,7:08PM,68,0 days 02:39:00.000000000,darlg901,emmep901,barrs901,mealj901,,,true,SFN,tocf,9,weavj003
ANA201206220,44548,2012-06-22,night,unknown,ANA,park,billc001,0.0,munse701,pitches,unknown,friee001,ANA01,sunny,7:08PM,71,0 days 03:20:00.000000000,iassd901,buckc901,millb901,scotd901,,,true,LAN,torf,7,hared001
ANA201206230,44512,2012-06-23,day,unknown,ANA,park,sante001,0.0,franm701,pitches,unknown,jansk001,ANA01,sunny,4:16PM,76,0 days 02:43:00.000000000,buckc901,millb901,scotd901,iassd901,,,true,LAN,tocf,10,capuc001
ANA201206240,43975,2012-06-24,day,unknown,ANA,park,lindj004,0.0,munse701,pitches,unknown,friee001,ANA01,sunny,12:38PM,78,0 days 03:39:00.000000000,millb901,scotd901,iassd901,buckc901,,,true,LAN,tocf,4,downs001
ANA201207050,38104,2012-07-05,night,unknown,ANA,park,ayall001,0.0,franm701,pitches,unknown,friee001,ANA01,cloudy,7:09PM,69,0 days 03:21:00.000000000,cedeg901,blasc901,barkl901,johna901,,,true,BAL,tocf,7,hawkl001
ANA201207060,42716,2012-07-06,night,unknown,ANA,park,wilsc004,0.0,munse701,pitches,unknown,johnj010,ANA01,sunny,7:08PM,73,0 days 02:47:00.000000000,blasc901,barkl901,johna901,cedeg901,,,true,BAL,tolf,7,gonzm003
ANA201207070,41147,2012-07-07,night,unknown,ANA,park,hammj002,0.0,munse701,pitches,unknown,downs001,ANA01,sunny,7:08PM,75,0 days 02:20:00.000000000,barkl901,johna901,cedeg901,blasc901,,,true,BAL,torf,6,weavj003
ANA201207080,37108,2012-07-08,day,unknown,ANA,park,chenw001,0.0,munse701,pitches,unknown,,ANA01,sunny,12:37PM,79,0 days 02:32:00.000000000,johna901,cedeg901,blasc901,barkl901,,,true,BAL,tocf,6,millb001
ANA201207200,43936,2012-07-20,night,unknown,ANA,park,holld003,0.0,munse701,pitches,unknown,,ANA01,sunny,7:08PM,81,0 days 02:35:00.000000000,darlg901,emmep901,barrl901,mealj901,,,true,TEX,torf,6,weavj003
ANA201207210,39086,2012-07-21,day,unknown,ANA,park,sante001,0.0,munse701,pitches,unknown,,ANA01,sunny,1:07PM,82,0 days 03:13:00.000000000,emmep901,barrl901,mealj901,darlg901,,,true,TEX,tocf,8,darvy001
ANA201207220,42160,2012-07-22,night,unknown,ANA,park,harrm001,0.0,munse701,pitches,unknown,,ANA01,sunny,5:07PM,77,0 days 03:09:00.000000000,barrl901,mealj901,darlg901,emmep901,,,true,TEX,torf,6,hared001
ANA201207230,35047,2012-07-23,night,unknown,ANA,park,hollg001,0.0,munse701,pitches,unknown,downs001,ANA01,sunny,7:08PM,77,0 days 03:21:00.000000000,randt901,davib902,gormb901,ticht901,,,true,KCA,tocf,5,jepsk001
ANA201207240,35051,2012-07-24,night,unknown,ANA,park,richg002,0.0,franm701,pitches,unknown,broxj001,ANA01,sunny,7:07PM,73,0 days 02:54:00.000000000,davib902,gormb901,ticht901,randt901,,,true,KCA,torf,8,smitw002
ANA201207250,39107,2012-07-25,day,unknown,ANA,park,hochl001,0.0,munse701,pitches,unknown,,ANA01,sunny,12:38PM,75,0 days 03:07:00.000000000,gormb901,ticht901,randt901,davib902,,,true,KCA,tocf,10,weavj003
ANA201207270,40136,2012-07-27,night,unknown,ANA,park,cobba001,0.0,franm701,pitches,unknown,friee001,ANA01,sunny,7:08PM,73,0 days 02:33:00.000000000,cuzzp901,gibsg901,gonzm901,davig901,,,true,TBA,torf,7,hared001
ANA201207280,41232,2012-07-28,night,unknown,ANA,park,wilsc004,0.0,munse701,pitches,unknown,rodnf001,ANA01,sunny,6:08PM,80,0 days 02:57:00.000000000,gibsg901,gonzm901,davig901,cuzzp901,,,true,TBA,tocf,11,moorm003
ANA201207290,35477,2012-07-29,day,unknown,ANA,park,greiz001,0.0,munse701,pitches,unknown,rodnf001,ANA01,sunny,12:37PM,78,0 days 02:49:00.000000000,gonzm901,davig901,cuzzp901,gibsg901,,,true,TBA,tocf,11,hellj001
ANA201208100,39016,2012-08-10,night,unknown,ANA,park,kinnj001,0.0,franm701,pitches,unknown,,ANA01,cloudy,7:08PM,85,0 days 02:31:00.000000000,diazl901,estam901,schrp901,everm901,,,true,SEA,torf,9,friee001
ANA201208110,38722,2012-08-11,night,unknown,ANA,park,hared001,0.0,munse701,pitches,unknown,,ANA01,unknown,6:07PM,84,0 days 02:35:00.000000000,estam901,schrp901,everm901,diazl901,,,true,SEA,tocf,11,iwakh001
ANA201208120,36505,2012-08-12,day,unknown,ANA,park,weavj003,0.0,munse701,pitches,unknown,wilht001,ANA01,sunny,12:38PM,91,0 days 02:38:00.000000000,schrp901,everm901,diazl901,estam901,,,true,SEA,tocf,10,vargj001
